accession	date	region	country	division	location	state	host	authors	latitude	longitude	url	length	clade_membership
MF175863	2014-09-04	North America	USA	Texas	Denton Co. Tx	TX	Culex quinquefasciatus	Aroh et al.			https://www.ncbi.nlm.nih.gov/nuccore/MF175863	11032	WN02
MF175865	2015-09-16	North America	USA	Texas	Montgomery Co. Tx	TX	Culex quinquefasciatus	Aroh et al.			https://www.ncbi.nlm.nih.gov/nuccore/MF175865	11035	WN02
MF175866	2014-09-09	North America	USA	Texas	El Paso Co. Tx	TX	Culex tarsalis	Aroh et al.			https://www.ncbi.nlm.nih.gov/nuccore/MF175866	11032	SW03
MF175873	2015-09-08	North America	USA	Texas	Dallas Co. Tx	TX	Culex quinquefasciatus	Aroh et al.			https://www.ncbi.nlm.nih.gov/nuccore/MF175873	11030	WN02
MG004533	2014-06-03	North America	USA	Arizona		AZ	Culex quinquefasciatus	Hepp et al.			https://www.ncbi.nlm.nih.gov/nuccore/MG004533	10803	SW03
MG004537	2014-08-28	North America	USA	Arizona		AZ	Culex quinquefasciatus	Hepp et al.			https://www.ncbi.nlm.nih.gov/nuccore/MG004537	10803	SW03
MG004540	2015-05-12	North America	USA	Arizona		AZ	Culex quinquefasciatus	Hepp et al.			https://www.ncbi.nlm.nih.gov/nuccore/MG004540	10803	SW03
MH166901	2000-XX-XX	North America	USA	Virginia	Norfolk VA	VA	Aves	Swetnam et al.			https://www.ncbi.nlm.nih.gov/nuccore/MH166901	11025	NY99
MH166903	2000-XX-XX	North America	USA	Virginia	Norfolk VA	VA	Aves	Swetnam et al.			https://www.ncbi.nlm.nih.gov/nuccore/MH166903	11026	NY99
MH166904	2000-XX-XX	North America	USA	Virginia	Norfolk VA	VA	Aves	Swetnam et al.			https://www.ncbi.nlm.nih.gov/nuccore/MH166904	11018	NY99
OQ721425	2004-05-25	North America	USA	California	Los Angeles County CA	CA	Corvus brachyrhynchos	Grubaugh et al.			https://www.ncbi.nlm.nih.gov/nuccore/OQ721425	10302	WN02
OQ721436	2015-01-01	North America	USA	Washington	Grant County WA	WA	Corvidae	Grubaugh et al.			https://www.ncbi.nlm.nih.gov/nuccore/OQ721436	10302	SW03
HM488126	1999-XX-XX	North America	USA	Connecticut		CT	Corvus brachyrhynchos	Armstrong et al.			https://www.ncbi.nlm.nih.gov/nuccore/HM488126	10598	NY99
HM488127	1999-XX-XX	North America	USA	Connecticut		CT	Corvus brachyrhynchos	Armstrong et al.			https://www.ncbi.nlm.nih.gov/nuccore/HM488127	10625	NY99
HM488130	2000-XX-XX	North America	USA	Connecticut		CT	Culex salinarius	Armstrong et al.			https://www.ncbi.nlm.nih.gov/nuccore/HM488130	10621	NY99
HM488132	2000-XX-XX	North America	USA	Connecticut		CT	Culiseta melanura	Armstrong et al.			https://www.ncbi.nlm.nih.gov/nuccore/HM488132	10621	NY99
HQ671707	1999-XX-XX	North America	USA	Connecticut		CT	Culex pipiens	Henn et al.			https://www.ncbi.nlm.nih.gov/nuccore/HQ671707	10607	NY99
AF202541	XXXX-XX-XX	North America	USA	New York		NY		Jia et al.			https://www.ncbi.nlm.nih.gov/nuccore/AF202541	10945	NY99
AF206518	XXXX-XX-XX	North America	USA	Connecticut	Greenwich-Stanford Town Line	CT	Culex pipiens	Anderson et al.			https://www.ncbi.nlm.nih.gov/nuccore/AF206518	10975	NY99
AF481864	XXXX-XX-XX						Ciconiidae	Malkinson et al.			https://www.ncbi.nlm.nih.gov/nuccore/AF481864	11029	pre-NY
